statusId|sensorName|value|timestamp
8|MPU6500 Gyroscope Sensor|[0.63383234,-0.040480047,0.10865697]|1525553238449
8|MPU6500 Acceleration Sensor|[0.01316811,8.656237,2.8526914]|1525553238455
8|MPU6500 Gyroscope Sensor|[0.58696073,-0.043675844,0.10865697]|1525553238456
8|MPU6500 Acceleration Sensor|[0.17118542,8.661025,2.7964275]|1525553238460
8|MPU6500 Gyroscope Sensor|[0.5422196,-0.036218993,0.10013486]|1525553238460
8|MPU6500 Acceleration Sensor|[0.20590134,8.65025,2.9616275]|1525553238465
8|MPU6500 Gyroscope Sensor|[0.50813115,-0.0479369,0.082025364]|1525553238465
8|MPU6500 Acceleration Sensor|[0.15322891,8.65025,3.1998506]|1525553238470
8|MPU6500 Gyroscope Sensor|[0.4910869,-0.07243799,0.058589544]|1525553238470
8|MPU6500 Acceleration Sensor|[0.095768064,8.607155,3.4608185]|1525553238475
8|MPU6500 Gyroscope Sensor|[0.4889564,-0.09267801,0.036218993]|1525553238475
8|MPU6500 Acceleration Sensor|[0.17717093,8.656237,3.5553896]|1525553238480
8|MPU6500 Gyroscope Sensor|[0.49215218,-0.096939065,0.026631612]|1525553238480
8|MPU6500 Acceleration Sensor|[0.1412579,8.783129,3.5350387]|1525553238485
8|MPU6500 Gyroscope Sensor|[0.49002165,-0.07989483,0.025566347]|1525553238485
8|MPU6500 Acceleration Sensor|[-0.015562311,8.677784,3.3973722]|1525553238490
8|MPU6500 Gyroscope Sensor|[0.4889564,-0.05752428,0.034088463]|1525553238490
8|MPU6500 Acceleration Sensor|[0.021547815,8.688558,3.2321723]|1525553238495
8|MPU6500 Gyroscope Sensor|[0.49428272,-0.0479369,0.06178534]|1525553238495
8|MPU6500 Acceleration Sensor|[0.23822308,8.74961,3.0693667]|1525553238500
8|MPU6500 Gyroscope Sensor|[0.50813115,-0.056459017,0.08948222]|1525553238500
8|MPU6500 Acceleration Sensor|[0.3890578,8.756793,2.9161377]|1525553238505
8|MPU6500 Gyroscope Sensor|[0.5251754,-0.070307456,0.1107875]|1525553238505
8|MPU6500 Acceleration Sensor|[0.48722005,8.742428,2.6611552]|1525553238510
8|MPU6500 Gyroscope Sensor|[0.531567,-0.06924219,0.12357068]|1525553238510
8|MPU6500 Acceleration Sensor|[0.45250413,8.773552,2.3822308]|1525553238514
8|MPU6500 Gyroscope Sensor|[0.51984906,-0.060720075,0.13315806]|1525553238514
8|MPU6500 Acceleration Sensor|[0.29688102,8.7951,2.1930888]|1525553238520
8|MPU6500 Gyroscope Sensor|[0.49002165,-0.05006743,0.14061491]|1525553238520
8|MPU6500 Acceleration Sensor|[0.18076223,8.808268,2.2182279]|1525553238526
8|MPU6500 Gyroscope Sensor|[0.45699844,-0.049002163,0.15126756]|1525553238526
8|MPU6500 Acceleration Sensor|[0.1316811,8.871715,2.4277205]|1525553238530
8|MPU6500 Gyroscope Sensor|[0.42397526,-0.060720075,0.16298546]|1525553238530
8|MPU6500 Acceleration Sensor|[0.11611878,8.887277,2.7281928]|1525553238535
8|MPU6500 Gyroscope Sensor|[0.39734364,-0.06924219,0.17257284]|1525553238535
8|MPU6500 Acceleration Sensor|[0.1316811,8.853758,2.9747956]|1525553238540
8|MPU6500 Gyroscope Sensor|[0.3717773,-0.056459017,0.17896444]|1525553238540
8|MPU6500 Acceleration Sensor|[0.08379706,8.789114,3.039439]|1525553238545
8|MPU6500 Gyroscope Sensor|[0.3472762,-0.022370555,0.18216023]|1525553238546
8|MPU6500 Acceleration Sensor|[0.11851298,8.798691,2.9628246]|1525553238550
8|MPU6500 Gyroscope Sensor|[0.32597092,0.007456851,0.18642128]|1525553238550
8|MPU6500 Acceleration Sensor|[0.19991584,8.811859,2.9257145]|1525553238555
8|MPU6500 Gyroscope Sensor|[0.31318775,0.02130529,0.18642128]|1525553238555
8|MPU6500 Acceleration Sensor|[0.2693477,8.820239,3.0226796]|1525553238560
8|MPU6500 Gyroscope Sensor|[0.30360037,0.02130529,0.18535602]|1525553238560
8|MPU6500 Acceleration Sensor|[0.35673606,8.775947,3.144784]|1525553238565
8|MPU6500 Gyroscope Sensor|[0.30146983,0.024501082,0.18429075]|1525553238565
8|MPU6500 Acceleration Sensor|[0.5363012,8.76996,3.3207579]|1525553238570
8|MPU6500 Gyroscope Sensor|[0.30786142,0.033023197,0.17896444]|1525553238570
8|MPU6500 Acceleration Sensor|[0.6560113,8.774749,3.4560301]|1525553238575
8|MPU6500 Gyroscope Sensor|[0.32170987,0.0479369,0.17044231]|1525553238575
8|MPU6500 Gyroscope Sensor|[0.34621096,0.06178534,0.1555286]|1525553238580
8|MPU6500 Acceleration Sensor|[0.6931214,8.822633,3.5446155]|1525553238580
